view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,rng_seed,task_type,session_file_id
"[{'page_index': 0, 'viewing_time': 11275}]",11275,instructions,0,11279,0.0-0.0,anon_subject_90,659f04805339f753c1b65235,65a0475c731e49bdea1b9120,0.24396108755305002,instructions,session-65a047f9569f7
"[{'page_index': 0, 'viewing_time': 31401}]",31403,instructions,0,31412,0.0-0.0,anon_subject_109,659f04805339f753c1b65235,65a03fb2184037426b33ff3b,0.7895290688127601,instructions,session-65a040636b16b
"[{'page_index': 0, 'viewing_time': 51828}]",51829,instructions,0,51835,0.0-0.0,anon_subject_74,659f04805339f753c1b65235,65a02995943133561833f98c,0.3310450299104488,instructions,session-65a02a8be0e9c
"[{'page_index': 0, 'viewing_time': 1754}]",1754,instructions,0,1758,0.0-0.0,anon_subject_259,659f04805339f753c1b65235,65a03eb46243e6d43e38417b,0.8235987904453146,instructions,session-65a0420c6db58
"[{'page_index': 0, 'viewing_time': 46415}]",46415,instructions,0,46417,0.0-0.0,anon_subject_84,659f04805339f753c1b65235,65a05b72f34b5631810f8150,0.8472031216002167,instructions,session-65a05c3d32c64
"[{'page_index': 0, 'viewing_time': 6141}]",6141,instructions,0,6143,0.0-0.0,anon_subject_9,659f04805339f753c1b65235,65a047693ac2f375865f4ece,0.708789351023108,instructions,session-65a0481e99094
"[{'page_index': 0, 'viewing_time': 6481}]",6482,instructions,0,6485,0.0-0.0,anon_subject_226,659f04805339f753c1b65235,65a03f0c277118eefd0f3f52,0.025096151108051412,instructions,session-65a03f7a50fce
"[{'page_index': 0, 'viewing_time': 12969}]",12971,instructions,0,12984,0.0-0.0,anon_subject_119,659f04805339f753c1b65235,65a03ecf835c6424ecc7517d,0.2558059281724403,instructions,session-65a03f3be4b82
"[{'page_index': 0, 'viewing_time': 13005}]",13006,instructions,0,13017,0.0-0.0,anon_subject_106,659f04805339f753c1b65235,65a03eb054a913c61d775444,0.7723850737628328,instructions,session-65a03f6958d7a
"[{'page_index': 0, 'viewing_time': 30947}]",30948,instructions,0,30951,0.0-0.0,anon_subject_267,659f04805339f753c1b65235,65a029ee7db586ea67a73956,0.9821607744647937,instructions,session-65a02aeddfe8b
"[{'page_index': 0, 'viewing_time': 44584}]",44584,instructions,0,44586,0.0-0.0,anon_subject_246,659f04805339f753c1b65235,65a05a916e869bf85df4de0b,0.6412144368177903,instructions,session-65a05c067ee90
"[{'page_index': 0, 'viewing_time': 6971}]",6971,instructions,0,6975,0.0-0.0,anon_subject_85,659f04805339f753c1b65235,65a05a7cfcd1e50633ac3a82,0.514869365049188,instructions,session-65a05af758726
"[{'page_index': 0, 'viewing_time': 8737}]",8737,instructions,0,8754,0.0-0.0,anon_subject_103,659f04805339f753c1b65235,65a05a77f34b5631810f80ec,0.8631832628072968,instructions,session-65a05ba5a4b39
"[{'page_index': 0, 'viewing_time': 16216}]",16216,instructions,0,16217,0.0-0.0,anon_subject_4,659f04805339f753c1b65235,65a05a6c6bac4df6251b9481,0.4978530388722371,instructions,session-65a05b3256ccf
"[{'page_index': 0, 'viewing_time': 21536}]",21536,instructions,0,21539,0.0-0.0,anon_subject_77,659f04805339f753c1b65235,65a02a6c5f6b46129434efda,0.6796873871248637,instructions,session-65a02aea6e162
"[{'page_index': 0, 'viewing_time': 21873}]",21873,instructions,0,21876,0.0-0.0,anon_subject_277,659f04805339f753c1b65235,65a05a8d85d169d8295bfc2e,0.6660816993511438,instructions,session-65a05b3fdb663
"[{'page_index': 0, 'viewing_time': 43120}]",43120,instructions,0,43126,0.0-0.0,anon_subject_10,659f04805339f753c1b65235,65a04773bfcc66390994ad3f,0.7574550579166008,instructions,session-65a048486c4aa
"[{'page_index': 0, 'viewing_time': 16064}]",16067,instructions,0,16071,0.0-0.0,anon_subject_11,659f04805339f753c1b65235,65a03f1d6d1220a64a0f3ff4,0.5507684894005975,instructions,session-65a03f8ca85a8
"[{'page_index': 0, 'viewing_time': 10198}]",10199,instructions,0,10202,0.0-0.0,anon_subject_174,659f04805339f753c1b65235,65a04730d96f47480f33e5b0,0.7964797461545801,instructions,session-65a0479d78e5a
"[{'page_index': 0, 'viewing_time': 51679}]",51680,instructions,0,51687,0.0-0.0,anon_subject_265,659f04805339f753c1b65235,65a047ae5aba9e5f885bf764,0.9344200962146372,instructions,session-65a048a77ad72
"[{'page_index': 0, 'viewing_time': 44838}]",44838,instructions,0,44843,0.0-0.0,anon_subject_275,659f04805339f753c1b65235,65a05a755747bb3166d4f5ff,0.7163995266817098,instructions,session-65a05c784b652
"[{'page_index': 0, 'viewing_time': 9793}]",9794,instructions,0,9796,0.0-0.0,anon_subject_32,659f04805339f753c1b65235,65a0479e05a2eebaddf4d4c7,0.8812474157906789,instructions,session-65a048048b86b
"[{'page_index': 0, 'viewing_time': 12916}]",12917,instructions,0,12920,0.0-0.0,anon_subject_27,659f04805339f753c1b65235,65a047459066460e83748fbf,0.7419023631056343,instructions,session-65a047a0b4a8a
"[{'page_index': 0, 'viewing_time': 26168}]",26168,instructions,0,26175,0.0-0.0,anon_subject_233,659f04805339f753c1b65235,65a05b5ee7bb05ef1c8dafd9,0.23575965832589407,instructions,session-65a05c46115e7
"[{'page_index': 0, 'viewing_time': 8115}]",8115,instructions,0,8119,0.0-0.0,anon_subject_12,659f04805339f753c1b65235,65a0471bfbe002ebe6cd92b9,0.3042260510748822,instructions,session-65a047ae1158f
"[{'page_index': 0, 'viewing_time': 16237}]",16238,instructions,0,16244,0.0-0.0,anon_subject_7,659f04805339f753c1b65235,65a027775aba9e5f885bef5b,0.6570270035300274,instructions,session-65a027e97de4e
